"Em inferência estatística, o que é um 'parâmetro'?","É uma medida numérica que descreve uma característica de interesse em toda a população (ex: média $\mu$, proporção $p$)."
Qual a diferença entre um 'parâmetro' e uma 'estatística' (ou estimativa)?,"O parâmetro descreve a população e é um valor fixo e desconhecido, enquanto a estatística descreve a amostra e é um valor calculado e variável."
O que é uma 'distribuição amostral'?,É a distribuição de probabilidades de uma estatística (como a média amostral) calculada a partir de todas as amostras possíveis de mesmo tamanho de uma população.
Qual é a principal limitação de uma 'estimativa pontual'?,"Ela fornece apenas um único valor para o parâmetro, sem levar em conta a incerteza associada ao processo de amostragem."
Como uma 'estimativa intervalar' (intervalo de confiança) supera a limitação da estimativa pontual?,"Ela fornece uma faixa de valores plausíveis para o parâmetro, incorporando a incerteza da amostragem com um certo nível de confiança."
Quais são as três características desejáveis de um bom estimador?,"Ser não viciado (ou não viesado), consistente e eficiente."
O que significa um estimador ser 'não viciado' (não viesado)?,Significa que o valor esperado do estimador é exatamente igual ao verdadeiro valor do parâmetro que ele se propõe a estimar.
Qual é a condição matemática para um estimador $\hat{\theta}$ ser não viciado para o parâmetro $\theta$?,A condição é que $E(\hat{\theta}) = \theta$.
A propriedade de um estimador ser não viciado depende do tamanho da amostra?,"Não, essa propriedade deve ser válida independentemente do tamanho amostral."
O que significa um estimador ser 'consistente'?,"Significa que, à medida que o tamanho da amostra aumenta, a estimativa converge para o verdadeiro valor do parâmetro."
Quais são as duas condições matemáticas para um estimador $\hat{\theta}$ ser consistente?,1. $\lim_{n\to\infty} E(\hat{\theta}) = \theta$ e 2. $\lim_{n\to\infty} Var(\hat{\theta}) = 0$.
"A propriedade de _____ está diretamente ligada ao aumento do tamanho amostral, diferentemente do conceito de vício.",consistência
O que significa dizer que um estimador $\hat{\theta}_1$ é mais 'eficiente' que outro estimador $\hat{\theta}_2$?,"Significa que, sendo ambos não viciados, $\hat{\theta}_1$ tem uma variância menor que $\hat{\theta}_2$ ($Var(\hat{\theta}_1) < Var(\hat{\theta}_2)$)."
"O estimador da média populacional, $\hat{\mu} = \bar{Y}$, é viciado ou não viciado?",É não viciado e também consistente.
"O estimador da proporção populacional, $\hat{p}$, é viciado ou não viciado?",É não viciado e também consistente.
Qual a diferença fundamental entre os estimadores de variância $S^2 = \frac{1}{n-1}\sum(Y_i - \bar{Y})^2$ e $\hat{\sigma}^2 = \frac{1}{n}\sum(Y_i - \bar{Y})^2$?,"$S^2$ (com denominador $n-1$) é um estimador não viciado, enquanto $\hat{\sigma}^2$ (com denominador $n$) é um estimador viciado."
